purchase_order_line_key,product_key,vendor_key,purchase_order_detail_id,purchase_order_id,vendor_id,product_id,order_date,due_date,ship_date,order_status,order_qty,unit_price,received_qty,rejected_qty,line_amount,stocked_qty
c4ca4238a0b923820dcc509a6f75849b,c4ca4238a0b923820dcc509a6f75849b,dc5c768b5dc76a084531934b34601977,1,1,1580,1,2011-04-16,2011-04-30,2011-04-25,4,4,50.26,3.00,0.00,201.04,3.00
c81e728d9d4c2f636f067f89cc14862c,c058f544c737782deacefa532d9add4c,1415db70fe9ddb119e23e9b2808cde38,2,2,1496,359,2011-04-16,2011-04-30,2011-04-25,1,3,45.12,3.00,0.00,135.36,3.00
eccbc87e4b5ce2fe28308fd9f2a7baf3,e7b24b112a44fdd9ee93bdf998c6ca0e,1415db70fe9ddb119e23e9b2808cde38,3,2,1496,360,2011-04-16,2011-04-30,2011-04-25,1,3,45.5805,3.00,0.00,136.7415,3.00
a87ff679a2f3e71d9181a67b7542122c,d64a340bcb633f536d56e51874281454,fcdf25d6e191893e705819b177cddea0,4,3,1494,530,2011-04-16,2011-04-30,2011-04-25,4,550,16.086,550.00,0.00,8847.300,550.00
e4da3b7fbbce2345d7772b0674a318d5,a87ff679a2f3e71d9181a67b7542122c,973a5f0ccbc4ee3524ccf035d35b284b,5,4,1650,4,2011-04-16,2011-04-30,2011-04-25,3,3,57.0255,2.00,1.00,171.0765,1.00
1679091c5a880faf6fb5e6087eb1b2dc,10a7cdd970fe135cf4f7bb55c0e3b59f,9d2682367c3935defcb1f9e247a97c0d,6,5,1654,512,2011-04-30,2011-05-14,2011-05-09,4,550,37.086,550.00,0.00,20397.300,550.00
8f14e45fceea167a5a36dedd4bea2543,3dc4876f3f08201c7c76cb71fa1da439,4f398cb9d6bc79ae567298335b51ba8a,7,6,1664,513,2011-04-30,2011-05-14,2011-05-09,4,550,26.5965,468.00,0.00,14628.0750,468.00
c9f0f895fb98ab9159f51fd0297e236d,5b8add2a5d98b1a652ea7fd72d942dac,2cb6b10338a7fc4117a80da24b582060,8,7,1678,317,2011-04-30,2011-05-14,2011-05-09,4,550,27.0585,550.00,0.00,14882.1750,550.00
45c48cce2e2d7fbdea1afc51c7c6ad26,432aca3a1e345e339f35a30c8f65edce,2cb6b10338a7fc4117a80da24b582060,9,7,1678,318,2011-04-30,2011-05-14,2011-05-09,4,550,33.579,550.00,0.00,18468.450,550.00
d3d9446802a44259755d38e6d163e820,8d3bba7425e7c98c50f52ca1b52d3735,2cb6b10338a7fc4117a80da24b582060,10,7,1678,319,2011-04-30,2011-05-14,2011-05-09,4,550,46.0635,550.00,0.00,25334.9250,550.00
