product_inventory_key,product_key,location_key,product_id,location_id,shelf,bin,quantity
ea66c06c1e1c05fa9f1aa39d98dc5bc1,c4ca4238a0b923820dcc509a6f75849b,c4ca4238a0b923820dcc509a6f75849b,1,1,A,1,408
449daf85c71a9f8eb7c666134b1d9b95,c4ca4238a0b923820dcc509a6f75849b,1679091c5a880faf6fb5e6087eb1b2dc,1,6,B,5,324
388020279902a4c6de2a9071969e11cc,c4ca4238a0b923820dcc509a6f75849b,c0c7c76d30bd3dcaefc96f40275bdc0a,1,50,A,5,353
8fbdbf5573b18fae93736180f8d0197a,c81e728d9d4c2f636f067f89cc14862c,c4ca4238a0b923820dcc509a6f75849b,2,1,A,2,427
d9639340c2f0051c1a7a09da5ef07ed4,c81e728d9d4c2f636f067f89cc14862c,1679091c5a880faf6fb5e6087eb1b2dc,2,6,B,1,318
c7020014d3f4cdb82f2e799f25e6d472,c81e728d9d4c2f636f067f89cc14862c,c0c7c76d30bd3dcaefc96f40275bdc0a,2,50,A,6,364
c9e6e7b69f98f516a54cfe2c9e25fb3f,eccbc87e4b5ce2fe28308fd9f2a7baf3,c4ca4238a0b923820dcc509a6f75849b,3,1,A,7,585
d941e60b2106a76a1eb554a01f9b9f2f,eccbc87e4b5ce2fe28308fd9f2a7baf3,1679091c5a880faf6fb5e6087eb1b2dc,3,6,B,9,443
74f3b9e94adc1828885335bcdf448ac6,eccbc87e4b5ce2fe28308fd9f2a7baf3,c0c7c76d30bd3dcaefc96f40275bdc0a,3,50,A,10,324
74bdefab9757a081606b181ac29f1db2,a87ff679a2f3e71d9181a67b7542122c,c4ca4238a0b923820dcc509a6f75849b,4,1,A,6,512
b427ebc8ffe2221831c49fa57369653e,a87ff679a2f3e71d9181a67b7542122c,1679091c5a880faf6fb5e6087eb1b2dc,4,6,B,10,422
b0de675c94816bff8e6c23350da47433,a87ff679a2f3e71d9181a67b7542122c,c0c7c76d30bd3dcaefc96f40275bdc0a,4,50,A,11,388
e39135426dc9915355c474ae26e859f2,3fe94a002317b5f9259f82690aeea4cd,e4da3b7fbbce2345d7772b0674a318d5,316,5,A,11,532
fe346cf5c6841509b68fb3b5f4dcff4c,3fe94a002317b5f9259f82690aeea4cd,d3d9446802a44259755d38e6d163e820,316,10,B,1,388
1a7f6410a0bb7b3d14c87deaae94823b,3fe94a002317b5f9259f82690aeea4cd,c0c7c76d30bd3dcaefc96f40275bdc0a,316,50,B,8,441
56847a08713c194071e8f9421a2007f7,5b8add2a5d98b1a652ea7fd72d942dac,c4ca4238a0b923820dcc509a6f75849b,317,1,C,1,283
06778c8bbab5a9088af45b72ffe3b0b5,5b8add2a5d98b1a652ea7fd72d942dac,e4da3b7fbbce2345d7772b0674a318d5,317,5,A,1,158
f1dbb19fc30b6d10b8bc7e55e1663b0f,5b8add2a5d98b1a652ea7fd72d942dac,c0c7c76d30bd3dcaefc96f40275bdc0a,317,50,A,21,152
a5e5bb7b4f68f2746e36425aa7f00dfb,432aca3a1e345e339f35a30c8f65edce,c4ca4238a0b923820dcc509a6f75849b,318,1,C,2,136
ae38bb3ab471f2703327710bbc5842ed,432aca3a1e345e339f35a30c8f65edce,e4da3b7fbbce2345d7772b0674a318d5,318,5,A,2,171
58298ce6164484330f6768d5339c7ed4,432aca3a1e345e339f35a30c8f65edce,c0c7c76d30bd3dcaefc96f40275bdc0a,318,50,A,22,132
9b56fbb245efdcef9678d73c8e46ab5d,8d3bba7425e7c98c50f52ca1b52d3735,c4ca4238a0b923820dcc509a6f75849b,319,1,C,3,308
5fda90aacc93a944ccca40a021f1f814,8d3bba7425e7c98c50f52ca1b52d3735,e4da3b7fbbce2345d7772b0674a318d5,319,5,A,3,184
ac757aa3765f5fec6cc2ba8fe2ff106c,8d3bba7425e7c98c50f52ca1b52d3735,c0c7c76d30bd3dcaefc96f40275bdc0a,319,50,A,23,305
044cbf5dacef0e6e93acb4319069495b,320722549d1751cf3f247855f937b982,c4ca4238a0b923820dcc509a6f75849b,320,1,C,4,481
73df230da1061b2f9106896684d586b9,320722549d1751cf3f247855f937b982,e4da3b7fbbce2345d7772b0674a318d5,320,5,A,4,372
d5c0181cde7073938f75689340b5a859,320722549d1751cf3f247855f937b982,c0c7c76d30bd3dcaefc96f40275bdc0a,320,50,A,24,283
8a37c7fdb281956149b194985b56075a,caf1a3dfb505ffed0d024130f58c5cfa,c4ca4238a0b923820dcc509a6f75849b,321,1,C,6,569
28e03f2ade76b8a6fd30baa254d86170,caf1a3dfb505ffed0d024130f58c5cfa,e4da3b7fbbce2345d7772b0674a318d5,321,5,A,6,540
c2a3244f79fdbbf019033c0b3329eae9,caf1a3dfb505ffed0d024130f58c5cfa,c0c7c76d30bd3dcaefc96f40275bdc0a,321,50,A,26,641
69a7996ef68d4c199d5f1ac88277b685,5737c6ec2e0716f3d8a7a5c4e0de0d9a,c4ca4238a0b923820dcc509a6f75849b,322,1,C,7,622
08517d95e826f7ca68c9f6388eb2a202,5737c6ec2e0716f3d8a7a5c4e0de0d9a,e4da3b7fbbce2345d7772b0674a318d5,322,5,A,7,587
f172ae4bec7cf86bf101a9b6ed546ec5,5737c6ec2e0716f3d8a7a5c4e0de0d9a,c0c7c76d30bd3dcaefc96f40275bdc0a,322,50,A,27,475
cc7b4609127a1d4b857ad5d743b91cd6,bc6dc48b743dc5d013b1abaebd2faed2,c4ca4238a0b923820dcc509a6f75849b,323,1,C,35,603
084b3800152c0a2cc65c060995113160,bc6dc48b743dc5d013b1abaebd2faed2,e4da3b7fbbce2345d7772b0674a318d5,323,5,A,12,568
3ee05671e5c09f068640c68691ace15b,bc6dc48b743dc5d013b1abaebd2faed2,c0c7c76d30bd3dcaefc96f40275bdc0a,323,50,A,28,513
78c9275f713342aaf370bcd91a4faa72,f2fc990265c712c49d51a18a32b39f0c,c4ca4238a0b923820dcc509a6f75849b,324,1,C,36,585
5c72f4d9efc17a0a7484ad0ae2024dc2,f2fc990265c712c49d51a18a32b39f0c,e4da3b7fbbce2345d7772b0674a318d5,324,5,A,13,568
10c276418257c07f57bd0c3bbd313b9b,f2fc990265c712c49d51a18a32b39f0c,c0c7c76d30bd3dcaefc96f40275bdc0a,324,50,A,29,476
45638170d564b8e9e617eb01b1232bcf,89f0fd5c927d466d6ec9a21b9ac34ffa,c4ca4238a0b923820dcc509a6f75849b,325,1,H,1,569
4c631b982f98922895a7eafb0b9cb9b2,89f0fd5c927d466d6ec9a21b9ac34ffa,1679091c5a880faf6fb5e6087eb1b2dc,325,6,G,1,540
6e96667be40c16f5238603b292bd441e,89f0fd5c927d466d6ec9a21b9ac34ffa,072b030ba126b2f4b2374f342be9ed44,325,60,A,1,641
359c60e226999f442c44d214cd3b4db1,a666587afda6e89aec274a3657558a27,c4ca4238a0b923820dcc509a6f75849b,326,1,H,2,622
49be1a3ad83056af7575b34df76f3284,a666587afda6e89aec274a3657558a27,1679091c5a880faf6fb5e6087eb1b2dc,326,6,G,2,587
13a8efc429775432dbe8001c8f4c7b92,a666587afda6e89aec274a3657558a27,072b030ba126b2f4b2374f342be9ed44,326,60,A,2,475
09e8c8d9da61b7d9d1e5b2b83faadcbe,b83aac23b9528732c23cc7352950e880,e4da3b7fbbce2345d7772b0674a318d5,327,5,K,1,408
67a804d50ae47d858f74c24f7c173bb1,b83aac23b9528732c23cc7352950e880,d3d9446802a44259755d38e6d163e820,327,10,F,1,443
674c521e963f345ea4bd95629f767bb6,b83aac23b9528732c23cc7352950e880,c0c7c76d30bd3dcaefc96f40275bdc0a,327,50,B,9,513
e826b36ff9b9ff11cb0b11bbf32fee59,cd00692c3bfe59267d5ecfac5310286c,e4da3b7fbbce2345d7772b0674a318d5,328,5,A,8,568
3d6d8a9a6bd192f5a56be2025e82c352,cd00692c3bfe59267d5ecfac5310286c,d3d9446802a44259755d38e6d163e820,328,10,D,1,585
530174a4726baa8d199dd38fd2b1721d,cd00692c3bfe59267d5ecfac5310286c,c0c7c76d30bd3dcaefc96f40275bdc0a,328,50,A,14,476
