customer_key,customer_id,person_id,store_id,territory_id,customer_type
c4ca4238a0b923820dcc509a6f75849b,1,,934,1,Store
c81e728d9d4c2f636f067f89cc14862c,2,,1028,1,Store
eccbc87e4b5ce2fe28308fd9f2a7baf3,3,,642,4,Store
a87ff679a2f3e71d9181a67b7542122c,4,,932,4,Store
e4da3b7fbbce2345d7772b0674a318d5,5,,1026,4,Store
1679091c5a880faf6fb5e6087eb1b2dc,6,,644,4,Store
8f14e45fceea167a5a36dedd4bea2543,7,,930,1,Store
c9f0f895fb98ab9159f51fd0297e236d,8,,1024,5,Store
45c48cce2e2d7fbdea1afc51c7c6ad26,9,,620,5,Store
d3d9446802a44259755d38e6d163e820,10,,928,6,Store
6512bd43d9caa6e02c990b0a82652dca,11,,1022,6,Store
c20ad4d76fe97759aa27a0c99bff6710,12,,622,6,Store
c51ce410c124a10e0db5e4b97fc2af39,13,,434,7,Store
aab3238922bcc25a6f606eb525ffdc56,14,,1020,8,Store
9bf31c7ff062936a96d3c8bd1f8f2ff3,15,,624,9,Store
c74d97b01eae257e44aa9d5bade97baf,16,,432,10,Store
70efdf2ec9b086079795c442636b55fb,17,,1018,5,Store
6f4922f45568161a8cdf4ad2299f6d23,18,,1332,3,Store
1f0e3dad99908345f7439f8ffabdffc4,19,,430,1,Store
98f13708210194c475687be6106a3b84,20,,1016,1,Store
3c59dc048e8850243be8079a5c74d079,21,,1334,4,Store
b6d767d2f8ed5d21a44b0e5886680cb9,22,,494,3,Store
37693cfc748049e45d87b8c7d8b9aacd,23,,1014,4,Store
1ff1de774005f8da13f42943881c655f,24,,1336,4,Store
8e296a067a37563370ded05f5a3bf3ec,25,,492,4,Store
4e732ced3463d06de0ca9a15b6153677,26,,1012,5,Store
02e74f10e0327ad868d138f2b4fdd6f0,27,,1338,5,Store
33e75ff09dd601bbe69f351039152189,28,,490,6,Store
6ea9ab1baa0efb9e19094440c317e21b,29,,1010,6,Store
34173cb38f07f89ddbebc2ac9128303f,30,,1340,6,Store
c16a5320fa475530d9583c34fd356ef5,31,,942,7,Store
6364d3f0f495b6ab9dcf8d3b5c6e0b01,32,,1008,8,Store
182be0c5cdcd5072bb1864cdee4d3d6e,33,,1342,9,Store
e369853df766fa44e1ed0ff613f563bd,34,,940,10,Store
1c383cd30b7c298ab50293adfecb7b18,35,,1006,2,Store
19ca14e7ea6328a42e0eb13d585e4c22,36,,1344,2,Store
a5bfc9e07964f8dddeb95fc584cd965d,37,,938,1,Store
a5771bce93e200c36f7cd9dfd0e5deaa,38,,1004,1,Store
d67d8ab4f4c10bf22aa353e27879133c,39,,1346,3,Store
d645920e395fedad7bbbed0eca3fe2e0,40,,936,4,Store
3416a75f4cea9109507cacd8e2f2aefc,41,,1002,4,Store
a1d0c6e83f027327d8461063f4ac58a6,42,,1348,4,Store
17e62166fc8586dfa4d1bc0e1742c08b,43,,1290,1,Store
f7177163c833dff4b38fc8d2872f1ec6,44,,1000,5,Store
6c8349cc7260ae62e3b1396831a8398f,45,,1350,5,Store
d9d4f495e875a2e075a1a4a6e1b9770f,46,,1288,6,Store
67c6a1e7ce56d3d6fa748ab6d9af3fd7,47,,998,6,Store
642e92efb79421734881b53e1e1b18b6,48,,1352,6,Store
f457c545a9ded88f18ecee47145a72c0,49,,1286,7,Store
c0c7c76d30bd3dcaefc96f40275bdc0a,50,,996,8,Store
2838023a778dfaecdc212708f721b788,51,,1354,9,Store
9a1158154dfa42caddbd0694a4e9bdc8,52,,1284,10,Store
d82c8d1619ad8176d665453cfb2e55f0,53,,994,2,Store
a684eceee76fc522773286a895bc8436,54,,1356,2,Store
b53b3a3d6ab90ce0268229151c9bde11,55,,1282,1,Store
9f61408e3afb633e50cdf1b20de6f466,56,,992,1,Store
72b32a1f754ba1c09b3695e0cb6cde7f,57,,1358,3,Store
66f041e16a60928b05a7e228a89c3799,58,,1280,3,Store
093f65e080a295f8076b1c5722a46aa2,59,,990,4,Store
072b030ba126b2f4b2374f342be9ed44,60,,1360,4,Store
7f39f8317fbdb1988ef4c628eba02591,61,,1278,4,Store
44f683a84163b3523afe57c2e008bc8c,62,,988,5,Store
03afdbd66e7929b125f8597834fa83a4,63,,1362,5,Store
ea5d2f1c4608232e07d3aa3d998e5135,64,,1276,6,Store
